umls_code,mesh_code
C0027126,D009223
C0027127,D009224
C0027149,D009232
C0027339,D009260
C0027341,D009261
C0027404,D009290
C0027412,D009293
C0027429,D015508
C0027430,D009298
C0027439,D009303
C0027497,D009325
C0027533,D006258
C0027540,D009336
C0027543,D010020
C0027626,D009361
C0027627,D009362
C0027643,D009364
C0027645,D009366
C0027651,D009369
C0027654,D009373
C0027658,D009373
C0027659,D009374
C0027660,D009375
C0027661,D009376
C0027662,D009377
C0027666,D009381
C0027686,D009389
C0027697,D009393
C0027706,D009394
C0027707,D009395
C0027708,D009396
C0027709,D009397
C0027719,D009400
C0027720,D009401
C0027721,D009402
C0027726,D009404
C0027746,D009410
C0027765,D009422
C0027794,D009436
C0027796,D009437
C0027806,D009436
C0027809,D009442
C0027819,D009447
C0027821,D009449
C0027830,D009455
C0027831,D009456
C0027832,D016518
C0027854,D009461
C0027859,D009464
C0027868,D009468
C0027873,D009471
C0027877,D009472
C0027888,D015417
C0027889,D009477
C0027947,D009503
C0027960,D009506
C0027962,D009508
C0028043,D014029
C0028064,D009542
C0028077,D009755
C0028313,D019965
C0028326,D009634
C0028433,D009669
C0028738,D009759
C0028754,D009765
C0028756,D009767
C0028768,D009771
C0028796,D009783
C0028797,D009784
C0028838,D006261
C0028840,D009798
C0028860,D009800
C0028945,D009837
C0028949,D009839
C0028960,D009845
C0028961,D009846
C0029089,D009886
C0029095,D009293
C0029106,D009889
C0029118,D009894
C0029121,D000096865
C0029124,D009896
C0029132,D009901
C0029134,D009902
C0029172,D009914
C0029226,D006212
C0029227,D019965
C0029230,D019965
C0029231,D019966
C0029261,D020018
C0029294,D009958
C0029295,D009959
C0029342,D009976
C0029396,D009999
C0029401,D010001
C0029408,D010003
C0029410,D015207
C0029411,D010004
C0029422,D010009
C0029423,D015831
C0029434,D010013
C0029445,D010020
C0029453,D001851
C0029454,D010022
C0029455,D010023
C0029456,D010024
C0029458,D015663
C0029459,D010024
C0029463,D012516
C0029464,D010026
C0029882,D010033
C0029883,D010034
C0029927,D010048
C0029928,D010049
C0029944,D062787
C0030044,D003398
C0030167,D008581
C0030193,D010146
C0030200,D010148
C0030201,D010149
C0030214,D009207
C0030246,D011565
C0030286,D010182
C0030297,D010190
C0030305,D010195
C0030312,D010198
C0030319,D016584
C0030328,D010201
C0030354,D010212
C0030360,D010214
C0030421,D010235
C0030437,D010267
C0030442,D010244
C0030443,D010245
C0030446,D007418
C0030472,D010257
C0030486,D010264
C0030491,D010267
C0030521,D010282
C0030524,D010283
C0030552,D010291
C0030554,D010292
C0030567,D010300
C0030569,D010302
C0030625,D010323
C0030662,D005715
C0030779,D010381
C0030781,D010382
C0030804,D010390
C0030805,D010391
C0030807,D010392
C0030809,D010392
C0030846,D010409
C0030848,D010411
C0030849,D010412
C0030920,D010437
C0030922,D010438
C0031030,D010485
C0031036,D010488
C0031039,D010490
C0031046,D010493
C0031051,D010518
C0031069,D010505
